"Номер";"Поставка";"Статус (reference)";"Марка";"Модель";"Год";"Кузов";"Двигатель";"Руль (L/R)";"Тип КПП (/automatic/manual/variator)";"Модель КПП";"Привод (/FD/BD/4WD)";"Комплектация";"VIN";"Описание";"Видео";"Пробег";"Цвет";"Стоимость";"Фото"
"2";"G08LCI";"japan:В наличии";"BMW";"iX3";"2021";"G08";"BEV";"R:Правый руль";"";"";"BD:Задний";"";"";"";"";"";"A90 sophito grau brilliant metallic";"2050000.00";""
"1";"M2 F87";"japan:В наличии";"BMW";"2";"2019";"F87 Сompetition";"S55";"R:Правый руль";"robot:Робот";"2U72";"BD:Задний";"";"7E45405";"";"";"";"C1X Sunset orange metallic";"2200000.00";""
"3";"F26 Валова";"japan:В наличии";"BMW";"X4";"2018";"F26";"N20";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"";"0.00";""
"4";"626";"japan:В наличии";"BMW";"";"";"";"";"L:Левый руль";"";"";"";"";"";"";"";"";"";"1117770.00";""
"5";"645";"japan:В наличии";"BMW";"";"";"";"";"L:Левый руль";"";"";"";"";"";"";"";"";"";"2450000.00";""
"6";"FG-Sever";"japan:В наличии";"BMW";"";"";"";"";"L:Левый руль";"";"";"";"";"";"";"";"";"";"0.00";""
"7";"Комиссия";"japan:В наличии";"BMW";"";"";"";"";"L:Левый руль";"";"";"";"";"";"";"";"";"";"0.00";""
"8";"Склад Кузов";"japan:В наличии";"BMW";"";"";"";"";"L:Левый руль";"";"";"";"";"";"";"";"";"";"0.00";""
"9";"Перепродажа";"japan:В наличии";"BMW";"";"";"";"";"L:Левый руль";"";"";"";"";"";"";"";"";"";"0.00";""
"10";"G20";"japan:В наличии";"BMW";"3";"2021";"G20";"B48C";"R:Правый руль";"";"";"";"";"";"";"";"";"black-sapphire metallic";"1380000.00";""
"11";"G20 (B47) серая ( перепродажа )";"japan:В наличии";"BMW";"3";"2019";"G20";"";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"A83 ( glacier-silber metallic )";"960000.00";""
"12";"X3 G01 M40I ";"japan:В наличии";"BMW";"X3";"2018";"G01";"B58M";"R:Правый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"C1M phytonic-blau metallic";"1900000.00";""
"13";"BMW X5 xDrive45e G05 ";"japan:В наличии";"BMW";"X5";"2021";"G05";"XB1";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"C27 arktis-grau Brillanteffekt";"3150000.00";""
"14";"BMW X5 G05 B57";"japan:В наличии";"BMW";"X5";"2019";"G05";"B57D";"R:Правый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"C1M phytonic-blau metallic";"0.00";""
"15";"X5 G05 LCI B57X";"japan:В наличии";"BMW";"X5";"2024";"G05";"B57X";"R:Правый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"C4W Skyscraper grau metallic";"0.00";""
"16";"BMW X3 G01 B47O ( Серебристый )";"japan:В наличии";"BMW";"X3";"2018";"G01";"B47O";"R:Правый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"A83 glacier-silber metallic";"0.00";""
"17";"BMW F40 M135i B48";"japan:В наличии";"BMW";"1";"2022";"F40";"B48E";"R:Правый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"P6K NARDOGRAU";"0.00";""
"18";"BMW G20 320i Saloon RHD MX";"japan:В наличии";"BMW";"3";"2022";"G20";"B48C";"R:Правый руль";"automatic:АКПП";"";"BD:Задний";"";"";"";"";"";"B39 mineral-grau metallic";"0.00";""
"19";"BMW X4 G02 (тест)";"japan:В наличии";"BMW";"X4";"2023";"G02";"B48C";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"475 black-sapphire metallic";"0.00";""
"20";"BMW X3 G01 LCI B46D ( новая )";"japan:В наличии";"BMW";"X3";"2023";"G01";"B46D";"L:Левый руль";"";"";"4WD:Полный";"";"";"";"";"";"alpinweiss 3 300";"0.00";""
"21";"BMW X7 G07 LCI ( Новая )";"japan:В наличии";"BMW";"X7";"2023";"G07";"B58N";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"475 black-sapphire metallic";"0.00";""
"22";"BMW X6 G06 LCI ( НОВАЯ A96 )";"japan:В наличии";"BMW";"X6";"2023";"G06 LCI";"B57X";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"A96 mineral-weiss metallic";"0.00";""
"23";"BMW G02 LCI ( НОВАЯ 416 )";"japan:В наличии";"BMW";"X4";"2023";"G02 LCI";"B48C";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"416 carbon-schwarz";"0.00";""
"24";"BMW X7 xDrive40i ( 475 новая ) 9T68302";"japan:В наличии";"BMW";"X7";"2023";"G07 LCI";"B58N";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"475 black-sapphire metallic";"0.00";""
"25";"BMW X4 M40i G02 НОВАЯ 475 9T55817";"japan:В наличии";"BMW";"X4";"2023";"G02 LCI";"B58C";"L:Левый руль";"automatic:АКПП";"";"4WD:Полный";"";"";"";"";"";"475 black-sapphire metallic";"0.00";""
