"Артикул";"Наименование";"Донор";"Марка";"Модель";"Год";"Кузов";"Двигатель";"Перед/Зад (F/B)";"Лев/Прав (L/R)";"Верх/Низ (U/D)";"Цвет";"Маркировка";"Кросс-номера";"Номер производителя";"Производитель";"Комментарий";"Фото";"Новый/БУ (new/used/contract)";"Цена";"Склад"
"8";"Фонари";"2";"BMW";"iX3";"2021";"G08";"BEV";"B";"";"";"черный";"9850134";"63 21 9463048";"63219463048";"BMW";"Фонарь заднего правого крыла ( Блок задних фонарей боковой стороны светодиодная правая ) от BMW iX3 G08 ( X3 G01 ) LCI ( рестайлинг ) . Оригинал .Европа .
Фонарь с небольшим стесом на нижнем уголке ( на фото показано ) .";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/09/0000_09_934.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/09/0000_09_935.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/09/0000_09_936.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/09/0000_09_937.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/09/0000_09_938.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/09/0000_09_939.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/03/0000_03_088.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/03/0000_03_089.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_065.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_064.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_076.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/09/0000_09_940.jpg";"contract";"20000";"Москва"
"12";"Дверь";"1";"BMW";"2";"2019";"F87 Сompetition";"S55";"F";"R";"";"C1X Sunset orange metallic";"41517298044";"41 51 7298044, 41517298044, 7298044, 41 00 9631842, 41009631842, 9631842";"41517298044";"BMW";"Оригинал .Хорошее состояние.Дефекты полученные при транспортировке отмечены и показаны на фото.";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_133.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_134.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_135.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_136.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_137.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_138.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_139.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_140.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_141.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_142.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_143.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_144.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_145.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_146.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_147.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_148.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_149.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_150.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_151.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_152.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_153.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_154.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_155.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_156.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_157.jpg";"contract";"20000";"Москва"
"13";"Дверь";"1";"BMW";"2";"2019";"F87 Сompetition";"S55";"F";"L";"";"C1X Sunset orange metallic";"41517298043";"41 51 7298043, 7298043, 41 00 9631841, 41009631841, 9631841";"41517298043";"BMW";"Оригинал.Дверь ровная с минимальными дефектами ,которые были получены при транспортировке.Все дефекты отмечены и показаны на фото.";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_158.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_159.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_160.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_161.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_162.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_163.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_164.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_165.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_166.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_167.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_168.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_169.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_170.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_171.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_172.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_173.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_174.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_175.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_176.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_177.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_178.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_179.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_180.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_181.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_182.jpg";"contract";"20000";"Москва"
"26";"Плафон подсветки салона";"1";"BMW";"2";"2019";"F87 Сompetition";"S55";"F";"";"";"черный";"6826921";"61 31 9351183, 61319351183, 9351183, 61 31 9321469, 61319321469, 9321469, 61 31 9330042, 61319330042, 9330042, 61 31 9317407, 61319317407, 9317407, 61 31 6826921";"61316826921";"BMW";"Оригинальный потолочный плафон освещения (Функциональный центр в крыше) от БМВ М2 Ф87 в состоянии нового.Возможна установка на месте.";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_334.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_335.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_336.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_337.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_338.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_339.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_340.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_341.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_342.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_343.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_344.jpg";"contract";"4500";"Москва"
"31";"Блок управления REM";"1";"BMW";"2";"2019";"F87 Сompetition";"S55";"";"";"";"черный";"61359499005";"61 35 9499001, 9499001, 61 35 9866978, 61359866978, 9866978, 61 35 6819332, 61356819332, 6819332, 61 35 6809049, 61356809049, 6809049, 61 35 9374506, 61359374506, 9374506, 61 35 9362394, 61359362394, 9362394, 61 35 9329700, 61359329700, 9329700, 61 35 9499005, 9499005";"61359499001";"BMW";"Блок управления REM от BMW M2 F87 LCI . Оригинал";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_468.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_469.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_470.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_471.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_472.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_473.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_474.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_475.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_476.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_477.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_478.jpg";"contract";"5000";"Москва"
"32";"ЭБУ блокировкой редуктора";"1";"BMW";"2";"2019";"F87 Сompetition";"S55";"";"";"";"";"61358098151";"33 60 8098151, 33608098151, 8098151, 61 35 8092583, 61358092583, 8092583, 61 35 8065118, 61358065118, 8065118, 61 35 7857786, 61357857786, 7857786, 61 35 7854124, 61357854124, 7854124, 61 35 7852630, 61357852630, 7852630, 61 35 7841305, 61357841305, 7841305, 61 35 7850612, 61357850612, 7850612, 61 35 7850993, 61357850993, 7850993, 61 35 7849981, 61357849981, 7849981, 61 35 7848250, 61357848250, 7848250, 61 35 7847955, 61357847955, 7847955, 61 35 7847260, 61357847260, 7847260, 61 35 8098151, 8098151, 33 60 9882850, 9882850";"33609882850";"BMW";"";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_479.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_480.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_481.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_482.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_483.jpg";"contract";"21000";"Москва"
"34";"Блок управления подушками безопасности";"1";"BMW";"2";"2019";"F87 Сompetition";"S55";"";"";"";"черный";"65779461918";"65 77 6826983, 65776826983, 6826983, 65 77 9348726, 65779348726, 9348726, 65 77 9296494, 65779296494, 9296494, 65 77 9461918, 9461918";"65779461918";"BMW";"Блок управления безопасности ( ЭБУ НПБ ACSM4B ) от BMW M2 F87 LCI . Оригинал";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_488.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_489.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_490.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_491.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_492.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_493.jpg";"contract";"2000";"Москва"
"39";"Петля крышки багажника";"2";"BMW";"iX3";"2021";"G08";"BEV";"B";"";"";"A90 sophisto-grau brillant metallic";"41007494943";"7494943, 41 00 7494944, 41007494944, 7494944";"41007494943";"BMW";"Левая и правая петля крышки багажника.Цена за одну.";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_525.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_526.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_527.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_528.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_529.jpg";"contract";"2500";"Москва"
"40";"Конденсатор";"2";"BMW";"iX3";"2021";"G08";"BEV";"";"";"";"";"7950339";"64 50 7950339, 64 50 9367096, 64509367096, 9367096";"64507950339";"BMW";"Конденсатор кондиционера с осушителем от BMW iX3 G08 ( X3 G01 ) . Оригинал .";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_530.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_531.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_532.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_533.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_534.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_535.jpg";"contract";"30000";"Москва"
"41";"Зеркало заднего вида салонное";"1";"BMW";"2";"2019";"F87 Сompetition";"S55";"";"";"";"черный";"6992176";"51 16 9273081, 51169273081, 9273081, 51 16 9281708, 51169281708, 9281708, 51 16 9286278, 51169286278, 9286278, 51 16 9290697, 51169290697, 9290697, 51 16 9345367, 51169345367, 9345367, 51 16 9345367";"51166992176";"BMW";"Оригинальное зеркало заднего вида  EC/СД/FLA с BMW M2 Competition F87 в отличном состоянии.Само зеркало не царапаное.Возможна установка на месте.
С затемнением.
Со светодиодом противоугонной системы.
С системой управления дальнего света фар.";"https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_536.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_537.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_538.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_539.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_540.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_541.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_542.jpg, https://3fb394a7-cdc0-4e09-a75f-727196cc50fd.selcdn.net/pub/c3677/productphoto/0000/00/0000_00_543.jpg";"contract";"10000";"Москва"
